iter	Passed	Remaining
758	1051	333
759	1052	332
760	1053	330
761	1055	329
762	1056	328
763	1057	326
764	1059	325
765	1060	324
766	1062	322
767	1063	321
768	1065	320
769	1067	318
770	1069	317
771	1070	316
772	1072	314
773	1073	313
774	1074	311
775	1076	310
776	1077	309
777	1078	307
778	1080	306
779	1081	304
780	1082	303
781	1083	302
782	1085	300
783	1086	299
784	1088	298
785	1089	296
786	1090	295
787	1091	293
788	1093	292
789	1094	291
790	1095	289
791	1097	288
792	1098	286
793	1099	285
794	1101	283
795	1102	282
796	1103	281
797	1105	279
798	1106	278
799	1107	276
800	1109	275
801	1110	274
802	1111	272
803	1112	271
804	1114	269
805	1115	268
806	1116	267
807	1118	265
808	1119	264
809	1121	262
810	1122	261
811	1123	260
812	1125	258
813	1126	257
814	1127	255
815	1129	254
816	1130	253
817	1131	251
818	1133	250
819	1134	249
820	1135	247
821	1136	246
822	1138	244
823	1139	243
824	1141	242
825	1142	240
826	1143	239
827	1145	237
828	1146	236
829	1148	235
830	1149	233
831	1150	232
832	1152	230
833	1153	229
834	1154	228
835	1156	226
836	1157	225
837	1158	223
838	1159	222
839	1161	221
840	1162	219
841	1163	218
842	1165	216
843	1166	215
844	1167	214
845	1169	212
846	1171	211
847	1172	210
848	1173	208
849	1174	207
850	1176	205
851	1177	204
852	1178	203
853	1180	201
854	1181	200
855	1182	198
856	1183	197
857	1185	196
858	1186	194
859	1187	193
860	1189	191
861	1190	190
862	1191	189
863	1192	187
864	1194	186
865	1195	184
866	1196	183
867	1198	182
868	1199	180
869	1200	179
870	1201	178
871	1203	176
872	1204	175
873	1206	173
874	1207	172
875	1208	171
876	1210	169
877	1211	168
878	1212	166
879	1214	165
880	1215	164
881	1217	162
882	1218	161
883	1219	160
884	1220	158
885	1222	157
886	1223	155
887	1224	154
888	1225	153
889	1227	151
890	1228	150
891	1230	148
892	1232	147
893	1233	146
894	1234	144
895	1236	143
896	1237	142
897	1239	140
898	1240	139
899	1241	137
900	1242	136
901	1244	135
902	1245	133
903	1246	132
904	1248	131
905	1249	129
906	1250	128
907	1252	126
908	1253	125
909	1254	124
910	1255	122
911	1257	121
912	1258	119
913	1259	118
914	1261	117
915	1262	115
916	1264	114
917	1266	113
918	1267	111
919	1268	110
920	1270	108
921	1271	107
922	1272	106
923	1274	104
924	1275	103
925	1276	102
926	1278	100
927	1279	99
928	1281	97
929	1282	96
930	1283	95
931	1285	93
932	1286	92
933	1287	90
934	1288	89
935	1290	88
936	1291	86
937	1292	85
938	1294	84
939	1295	82
940	1296	81
941	1298	79
942	1299	78
943	1300	77
944	1301	75
945	1303	74
946	1304	73
947	1305	71
948	1307	70
949	1308	68
950	1310	67
951	1311	66
952	1312	64
953	1313	63
954	1315	61
955	1316	60
956	1318	59
957	1319	57
958	1321	56
959	1322	55
960	1323	53
961	1324	52
962	1326	50
963	1327	49
964	1328	48
965	1329	46
966	1331	45
967	1332	44
968	1333	42
969	1334	41
970	1336	39
971	1337	38
972	1338	37
973	1340	35
974	1341	34
975	1343	33
976	1344	31
977	1345	30
978	1347	28
979	1348	27
980	1349	26
981	1351	24
982	1352	23
983	1353	22
984	1355	20
985	1357	19
986	1358	17
987	1359	16
988	1360	15
989	1362	13
990	1363	12
991	1364	11
992	1366	9
993	1367	8
994	1368	6
995	1369	5
996	1370	4
997	1372	2
998	1373	1
999	1374	0
